date,open,high,low,close,volume
2015-03-06,64.17,64.96,62.00,62.48,1652500
2015-03-05,64.01,64.80,63.48,64.65,1676600
2015-03-04,65.05,65.43,61.84,63.67,4006400
2015-03-03,66.53,66.85,65.04,65.68,2021500
2015-03-02,67.00,68.39,65.66,67.12,3930700
2015-02-27,74.84,74.88,67.15,67.25,16870400
2015-02-26,68.20,69.89,67.88,69.57,4721700
2015-02-25,65.69,67.56,65.43,67.50,1785100
2015-02-24,67.25,67.85,64.69,66.44,3587500
2015-02-23,68.86,69.09,67.85,68.60,1385800
2015-02-20,68.29,68.99,67.81,68.94,2202300
2015-02-19,67.05,68.34,65.16,68.06,2088200
2015-02-18,65.40,66.22,63.85,65.90,1982300
2015-02-17,64.19,64.19,62.50,63.83,1975600
2015-02-13,62.29,65.12,62.00,64.18,2603500
2015-02-12,61.79,62.59,60.53,61.93,1407400
2015-02-11,58.92,60.90,58.42,60.60,1042700
2015-02-10,61.11,61.11,58.76,58.99,1723500
2015-02-09,62.00,62.02,60.09,60.48,1674900
2015-02-06,61.52,62.93,60.91,62.46,2029200
2015-02-05,58.70,61.15,57.61,61.06,2896100
2015-02-04,55.28,56.66,55.13,56.19,1728800
2015-02-03,53.40,55.64,53.31,55.60,1930300
2015-02-02,52.08,53.68,51.41,53.35,2320200
2015-01-30,53.48,53.50,51.60,51.65,1444600
2015-01-29,53.38,54.04,51.78,53.69,1989200
2015-01-28,55.90,56.28,53.32,53.41,1217400
2015-01-27,55.98,56.30,54.32,55.53,861700
2015-01-26,56.90,57.27,55.66,56.74,1132700
2015-01-23,55.66,57.52,55.45,56.89,1160500
2015-01-22,56.03,56.43,54.33,55.94,1321300
2015-01-21,54.67,56.17,54.02,55.65,1599800
2015-01-20,55.34,55.48,53.77,54.94,909800
2015-01-16,54.05,55.68,53.85,55.28,1362100
2015-01-15,56.98,57.49,53.92,54.17,1420700
2015-01-14,55.92,57.26,55.10,57.00,1265900
2015-01-13,57.74,59.59,56.18,57.31,1241800
2015-01-12,57.44,57.65,56.21,57.10,1069300
2015-01-09,58.52,58.97,56.59,57.64,1323300
2015-01-08,56.87,58.54,56.33,58.45,1437100
2015-01-07,57.10,57.57,55.33,56.25,1327500
2015-01-06,57.14,57.45,53.78,55.78,2021400
2015-01-05,58.28,59.17,56.04,56.84,2104700
2015-01-02,59.31,59.95,57.28,58.79,960700
2014-12-31,60.09,60.74,58.87,58.95,891900
2014-12-30,61.08,61.22,59.22,59.77,926800
2014-12-29,62.82,63.12,60.98,61.70,739700
2014-12-26,61.63,64.00,61.03,62.98,1163200
2014-12-24,61.56,62.12,61.26,61.49,499200
2014-12-23,61.76,62.80,61.46,61.60,1337900
2014-12-22,61.39,62.20,60.66,61.45,1495200
2014-12-19,59.36,62.23,59.25,61.61,2563800
2014-12-18,57.77,59.66,57.54,59.19,2476400
2014-12-17,53.90,57.00,53.90,56.62,1837000
2014-12-16,54.22,55.76,53.54,53.75,2264600
2014-12-15,56.51,56.96,54.19,54.87,2232100
2014-12-12,56.24,57.07,55.40,55.77,2376300
2014-12-11,59.95,61.54,56.98,57.26,3182300
2014-12-10,62.21,62.86,58.91,59.52,1965100
2014-12-09,61.29,62.72,59.62,62.61,2506300
2014-12-08,67.96,67.96,62.49,62.81,1940600
2014-12-05,64.20,66.51,63.96,65.85,1459100
2014-12-04,63.70,65.56,62.95,64.03,1348100
2014-12-03,63.50,64.05,62.46,63.63,1118800
2014-12-02,63.92,64.14,62.19,63.19,1628200
2014-12-01,66.89,67.00,63.50,63.73,1853900
2014-11-28,68.07,68.21,66.85,67.10,659900
2014-11-26,65.66,68.11,64.89,68.01,1683800
2014-11-25,66.90,67.87,65.01,65.63,1871500
2014-11-24,66.95,68.40,65.76,66.96,2519500
2014-11-21,71.00,72.25,66.75,66.93,6506100
2014-11-20,62.75,65.11,62.06,64.94,2583100
2014-11-19,65.50,65.89,61.94,63.90,2403400
2014-11-18,65.07,67.07,64.80,65.96,2147200
2014-11-17,68.35,68.93,64.40,64.78,2101800
2014-11-14,67.38,68.97,66.33,68.35,1445000
2014-11-13,68.39,69.10,65.43,67.36,1960100
2014-11-12,66.75,69.18,66.74,67.96,2941200
2014-11-11,66.73,67.28,65.83,67.03,1287000
2014-11-10,67.09,67.65,65.73,66.76,1645000
2014-11-07,66.29,67.69,65.31,66.87,2330600
2014-11-06,64.54,66.24,63.78,64.83,1700500
2014-11-05,65.08,65.69,62.17,62.99,1594800
2014-11-04,64.35,64.96,62.88,64.29,1573600
2014-11-03,65.91,66.30,63.87,64.35,1845400
2014-10-31,67.00,68.20,64.73,66.08,2365400
2014-10-30,63.80,66.44,63.41,65.70,1737200
2014-10-29,66.27,66.27,63.43,64.18,2371300
2014-10-28,63.13,67.08,62.70,66.57,3197800
2014-10-27,62.70,64.00,61.90,62.55,1648700
2014-10-24,59.81,63.75,59.65,63.24,3149100
2014-10-23,56.70,61.50,56.41,59.83,3720200
2014-10-22,57.98,58.21,55.22,55.70,2567700
2014-10-21,56.53,58.91,56.00,58.32,1719300
2014-10-20,55.74,57.05,54.85,55.91,1696600
2014-10-17,56.22,58.76,55.76,56.58,2815000
2014-10-16,51.34,56.17,51.30,54.74,2068400
2014-10-15,50.00,54.40,49.61,53.43,2354300
2014-10-14,51.87,53.35,50.37,51.74,1991600
2014-10-13,54.20,54.86,49.61,51.26,4565200
2014-10-10,57.23,58.94,53.12,53.22,3240800
2014-10-09,58.42,59.83,57.07,57.50,2277000
2014-10-08,58.07,58.82,55.29,58.60,2423600
2014-10-07,59.11,60.66,57.19,57.25,2971800
2014-10-06,61.48,63.55,59.61,59.71,3421500
2014-10-03,56.09,60.42,55.50,59.21,3772000
2014-10-02,54.05,55.91,52.51,55.29,2164500
2014-10-01,54.79,54.89,52.76,53.51,2041600
2014-09-30,55.49,56.00,53.97,55.36,1612100
2014-09-29,54.43,56.16,54.14,55.22,1628500
2014-09-26,54.68,55.64,54.22,55.57,1257900
2014-09-25,55.60,56.64,53.54,54.06,1960400
2014-09-24,54.68,56.06,53.95,56.05,1821000
2014-09-23,54.22,55.97,54.10,54.59,1975000
2014-09-22,56.00,56.20,53.75,54.59,2647100
2014-09-19,56.48,56.72,54.82,56.21,3091300
2014-09-18,56.66,57.06,55.76,56.25,1320400
2014-09-17,56.20,57.43,55.79,56.36,1615100
2014-09-16,55.26,56.93,54.78,56.48,2172200
2014-09-15,58.91,59.10,54.00,55.64,3749700
2014-09-12,60.00,60.90,58.96,59.02,2778200
2014-09-11,58.82,61.36,58.36,60.51,3420000
2014-09-10,57.41,59.88,57.00,59.54,2355300
2014-09-09,59.09,59.71,57.22,57.47,2111500
2014-09-08,58.70,60.74,58.54,59.42,4281300
2014-09-05,56.98,59.80,56.32,59.23,5069800
2014-09-04,57.33,57.96,56.08,57.10,3437300
2014-09-03,60.31,60.35,55.30,56.97,7731600
2014-09-02,53.75,60.16,53.36,59.93,13445700
2014-08-29,48.72,54.95,48.55,53.93,20229600
2014-08-28,45.89,46.22,45.10,45.29,3881100
2014-08-27,46.37,46.48,45.51,45.90,1734500
2014-08-26,43.72,46.81,43.65,46.22,2547200
2014-08-25,44.57,44.57,43.25,43.68,1730900
2014-08-22,42.11,44.03,40.90,43.95,2541800
2014-08-21,43.13,43.77,42.15,42.21,2085600
2014-08-20,43.84,43.88,42.79,42.90,2102700
2014-08-19,43.71,44.44,43.63,44.18,984500
2014-08-18,43.17,43.77,43.09,43.48,1163500
2014-08-15,42.97,43.47,42.40,42.75,1741700
2014-08-14,42.88,42.99,42.05,42.80,1913600
2014-08-13,41.58,42.42,41.01,42.36,1742100
2014-08-12,42.02,42.37,40.80,41.05,1172800
2014-08-11,41.30,42.36,40.89,41.93,2225100
2014-08-08,41.99,42.40,40.71,41.07,2608900
2014-08-07,42.68,42.72,41.32,41.85,2906100
2014-08-06,43.00,43.22,41.77,42.27,2971500
2014-08-05,45.06,45.75,43.61,44.11,1830000
2014-08-04,44.59,45.52,43.90,45.40,1492100
2014-08-01,47.10,47.24,43.52,44.27,3810100
2014-07-31,49.38,49.56,46.95,47.02,2328900
2014-07-30,47.87,50.97,47.39,50.39,2748600
2014-07-29,47.38,48.25,46.71,47.76,1064300
2014-07-28,47.88,48.22,46.46,47.19,1273900
2014-07-25,47.61,48.58,47.06,47.88,1107500
2014-07-24,47.33,48.21,46.87,47.92,1656300
2014-07-23,46.62,47.69,46.46,47.33,976500
2014-07-22,46.61,47.80,46.37,46.79,1346300
2014-07-21,46.22,46.97,45.40,46.09,1323100
2014-07-18,46.24,47.02,45.98,46.43,1366400
2014-07-17,46.00,46.87,45.53,45.78,1798300
2014-07-16,47.29,47.43,46.22,46.54,1270400
2014-07-15,47.91,48.28,46.07,46.38,2163500
2014-07-14,47.57,49.25,47.50,48.03,1602200
2014-07-11,47.32,47.92,46.21,47.24,1280200
2014-07-10,45.18,47.95,45.02,47.01,3432500
2014-07-09,48.04,49.08,46.92,47.87,3619100
2014-07-08,51.59,51.74,45.80,48.01,7373000
2014-07-07,53.59,54.17,51.64,51.80,2962100
2014-07-03,55.03,55.25,52.25,53.75,2513700
2014-07-02,56.25,56.63,54.81,55.08,2180600
2014-07-01,55.50,56.62,55.26,56.31,3335100
2014-06-30,54.50,55.59,54.31,55.33,2169900
2014-06-27,53.84,54.80,53.57,54.58,2596200
2014-06-26,53.45,54.72,53.09,53.96,2940300
2014-06-25,52.99,53.40,51.60,53.30,2924600
2014-06-24,52.56,54.10,51.94,52.63,4330400
2014-06-23,50.65,52.62,50.28,52.49,3412700
2014-06-20,51.30,51.63,49.58,50.70,3838300
2014-06-19,50.95,51.69,50.50,51.30,3944400
2014-06-18,49.35,51.03,48.27,50.53,4418000
2014-06-17,48.87,49.37,47.60,48.98,2712600
2014-06-16,46.72,49.36,46.50,49.15,3570100
2014-06-13,45.83,47.24,44.76,47.17,2792300
2014-06-12,44.85,46.95,44.03,45.75,3438400
2014-06-11,43.71,45.00,43.55,44.81,2491100
2014-06-10,44.01,44.72,43.23,43.85,1646600
2014-06-09,43.29,45.24,42.70,43.95,3441300
2014-06-06,43.00,43.49,42.01,43.18,3151700
2014-06-05,40.85,43.29,40.01,42.92,5762400
2014-06-04,40.13,41.25,39.76,40.39,2659900
2014-06-03,41.69,41.97,39.35,40.50,5689700
2014-06-02,41.96,43.31,41.22,41.97,5660600
2014-05-30,46.92,47.00,41.05,41.86,19312100
2014-05-29,49.93,50.50,48.53,50.04,5402300
2014-05-28,50.35,50.74,47.82,48.88,5670300
2014-05-27,47.24,49.68,47.24,48.89,4612500
2014-05-23,46.33,46.33,44.29,45.99,2699700
2014-05-22,44.39,46.45,44.00,45.75,3829600
2014-05-21,44.50,45.34,43.03,44.52,3082700
2014-05-20,43.43,45.54,42.30,44.16,4950300
2014-05-19,43.68,45.28,43.22,44.00,3797600
2014-05-16,43.58,44.25,42.14,43.76,4549400
2014-05-15,44.13,44.59,41.07,43.60,6252700
2014-05-14,43.81,46.21,43.43,43.70,4806200
2014-05-13,48.23,48.50,43.96,44.07,5181300
2014-05-12,47.02,48.81,46.34,48.23,3558600
2014-05-09,46.25,47.37,45.41,46.50,2782200
2014-05-08,48.30,49.75,46.38,46.65,4037600
2014-05-07,51.40,51.53,45.12,48.51,8381800
2014-05-06,55.51,55.51,51.71,51.75,2572900
2014-05-05,54.14,55.62,53.25,54.74,2596000
2014-05-02,55.02,55.50,53.25,54.87,2422000
2014-05-01,54.58,57.60,53.88,54.90,3474800
2014-04-30,55.12,55.35,53.18,54.57,2379600
2014-04-29,52.69,56.41,52.18,55.55,3879800
2014-04-28,55.87,55.95,50.84,52.99,5910600
2014-04-25,58.88,59.19,54.67,55.60,4122500
2014-04-24,62.26,62.49,56.50,59.23,5449300
2014-04-23,66.02,66.28,61.35,61.45,3290500
2014-04-22,63.97,66.61,63.97,65.74,1922000
2014-04-21,65.84,65.88,62.44,64.30,2059400
2014-04-17,65.53,67.57,64.62,65.84,3857600
2014-04-16,65.06,65.53,62.93,64.77,4008500
2014-04-15,60.75,64.64,58.73,64.36,6691100
2014-04-14,59.19,61.95,58.86,60.50,6386600
2014-04-11,56.86,60.20,55.55,57.68,3727500
2014-04-10,64.97,65.26,57.64,58.40,4989400
2014-04-09,62.27,65.30,61.54,65.04,5042100
2014-04-08,61.89,63.09,58.58,61.42,5564500
2014-04-07,62.12,64.22,58.29,60.57,8362700
2014-04-04,67.22,68.93,61.66,62.68,6473900
2014-04-03,72.00,72.15,65.22,66.36,5265400
2014-04-02,75.65,76.26,70.27,71.12,3166600
2014-04-01,71.76,75.00,71.00,74.90,4312900
2014-03-31,72.93,72.93,70.44,71.49,2618000
2014-03-28,73.44,74.89,71.00,71.41,2653900
2014-03-27,74.54,74.54,71.10,73.53,3702300
2014-03-26,75.43,77.17,73.62,74.84,4016700
2014-03-25,79.17,79.53,72.42,74.20,5754800
2014-03-24,85.54,85.54,74.08,77.27,5895800
2014-03-21,89.46,89.73,84.37,84.78,3749500
2014-03-20,87.54,90.00,86.00,89.42,1916900
2014-03-19,89.68,89.86,87.04,87.95,1657900
2014-03-18,85.79,90.49,85.45,90.02,2401400
2014-03-17,84.75,87.10,84.65,85.48,1027700
2014-03-14,84.68,85.82,83.84,84.57,1005600
2014-03-13,87.88,88.46,83.70,85.34,2112300
2014-03-12,84.31,88.06,83.60,87.71,1853900
2014-03-11,85.01,87.24,84.33,84.70,2050600
2014-03-10,87.87,88.77,83.59,84.97,2561300
2014-03-07,91.71,92.06,86.94,88.64,2608800
2014-03-06,92.78,93.42,91.00,91.56,1633900
2014-03-05,91.96,92.84,91.11,92.32,1399000
2014-03-04,92.23,93.43,91.19,92.00,1827100
2014-03-03,87.62,90.09,85.67,88.99,3567100
2014-02-28,102.94,106.15,90.78,92.75,5353200
2014-02-27,93.76,97.33,93.74,95.50,2499000
2014-02-26,95.08,96.21,91.91,92.96,2146400
2014-02-25,92.85,95.02,90.14,93.31,2494200
2014-02-24,89.83,91.12,88.60,90.75,1284500
2014-02-21,89.25,89.83,87.38,89.02,1269000
2014-02-20,86.43,89.00,86.07,88.51,1720600
2014-02-19,84.62,86.40,84.45,86.02,3195800
2014-02-18,87.95,87.99,85.76,86.43,1225400
2014-02-14,87.20,87.45,84.68,86.09,1029200
2014-02-13,81.51,86.38,81.00,86.30,1403000
2014-02-12,83.83,83.89,81.70,83.04,1126700
2014-02-11,81.39,83.65,81.30,83.16,1654100
2014-02-10,80.02,81.24,78.95,80.90,1389900
2014-02-07,77.70,80.00,77.64,79.88,1812400
2014-02-06,77.34,79.34,77.02,77.68,1505200
2014-02-05,77.60,79.94,74.25,77.29,2017200
2014-02-04,74.84,76.33,73.47,76.14,1079700
2014-02-03,76.74,78.74,73.20,74.15,1534400
2014-01-31,76.36,78.48,75.01,77.03,2058700
2014-01-30,76.51,78.26,74.45,77.42,2639400
2014-01-29,74.85,76.64,72.66,73.03,1897800
2014-01-28,73.92,75.56,73.91,75.27,1587400
2014-01-27,78.43,79.75,72.43,73.97,2651000
2014-01-24,81.72,82.71,76.91,76.99,2185300
2014-01-23,82.00,82.08,79.00,81.82,4217200
2014-01-22,80.60,83.97,80.60,82.24,1890900
2014-01-21,80.87,82.82,80.02,81.50,2358600
2014-01-17,79.46,79.99,77.95,79.67,1603600
2014-01-16,77.15,81.03,77.00,79.43,1705500
2014-01-15,75.25,76.21,75.13,75.99,1108100
2014-01-14,73.85,75.39,73.04,75.04,886000
2014-01-13,75.40,75.50,72.86,73.31,875500
2014-01-10,73.23,75.29,71.52,75.24,1118300
2014-01-09,75.35,75.65,73.13,74.58,725800
2014-01-08,75.91,76.38,74.11,74.91,1066700
2014-01-07,73.05,76.99,73.00,75.39,2622500
2014-01-06,71.10,72.24,70.04,70.78,766500
2014-01-03,71.45,71.50,69.83,70.98,736700
2014-01-02,68.09,72.34,68.09,71.46,1775000
2013-12-31,68.93,69.91,68.00,68.67,776700
2013-12-30,69.00,69.42,67.87,68.93,464600
2013-12-27,70.60,71.17,68.79,68.99,447700
2013-12-26,70.08,71.53,69.49,70.57,534400
2013-12-24,70.64,70.90,69.32,70.22,322000
2013-12-23,70.00,70.85,69.49,70.64,773000
2013-12-20,68.87,70.24,68.41,69.52,2380400
2013-12-19,68.58,70.60,68.14,68.49,914500
2013-12-18,69.36,69.46,66.30,68.64,1275100
2013-12-17,68.12,69.86,68.05,69.50,1142700
2013-12-16,68.00,69.00,67.51,68.12,874200
2013-12-13,68.12,68.31,67.10,67.73,810600
2013-12-12,66.97,68.64,66.75,68.05,973400
2013-12-11,68.63,68.63,66.69,66.99,771100
2013-12-10,69.08,69.08,68.00,68.43,829900
2013-12-09,69.78,69.91,68.08,69.07,838600
2013-12-06,71.49,71.49,68.80,69.68,744900
2013-12-05,69.26,71.67,69.21,70.79,976500
2013-12-04,70.28,70.28,68.37,69.66,1441500
2013-12-03,71.25,72.15,69.95,70.48,1313200
2013-12-02,72.03,72.89,70.68,71.69,1066400
2013-11-29,72.99,72.99,71.53,72.16,387000
2013-11-27,73.04,73.67,72.06,72.71,917600
2013-11-26,71.07,73.24,70.78,73.08,1752900
2013-11-25,72.84,74.97,70.05,71.03,2843700
2013-11-22,69.47,74.76,69.01,73.56,6651500
2013-11-21,62.95,62.99,59.68,59.90,3315300
2013-11-20,63.10,63.75,62.45,62.53,1108100
2013-11-19,63.03,63.59,62.48,62.90,1164500
2013-11-18,63.55,64.60,62.49,62.71,1083900
2013-11-15,63.46,63.52,62.71,63.34,751300
2013-11-14,61.92,62.60,61.37,62.55,472200
2013-11-13,60.31,62.16,60.31,61.89,1040300
2013-11-12,60.87,61.75,60.60,61.03,873700
2013-11-11,60.34,61.45,59.92,60.94,899600
2013-11-08,61.99,62.36,59.50,60.30,2295900
2013-11-07,63.77,65.15,61.39,61.73,1308500
2013-11-06,64.52,64.70,63.10,63.65,1191000
2013-11-05,63.00,64.50,62.59,63.98,953400
2013-11-04,62.57,63.92,61.97,63.05,1100600
2013-11-01,62.89,64.34,62.12,62.44,1002700
2013-10-31,62.65,63.07,61.72,62.71,927100
2013-10-30,62.17,63.23,61.91,62.83,1484100
2013-10-29,61.25,61.97,59.50,61.64,1144600
2013-10-28,62.26,62.59,60.49,60.96,1172500
2013-10-25,64.16,64.46,61.93,61.96,947700
2013-10-24,62.26,63.83,62.10,63.77,843500
2013-10-23,62.75,62.76,61.21,62.03,842700
2013-10-22,62.95,64.50,62.14,62.99,1573100
2013-10-21,62.07,63.33,61.61,62.68,1311100
2013-10-18,63.23,63.49,61.71,61.88,1131700
2013-10-17,59.13,62.91,59.13,62.62,2457000
2013-10-16,57.92,59.47,57.80,59.19,1009200
2013-10-15,59.13,59.13,57.16,57.50,905600
2013-10-14,58.66,59.57,58.11,59.35,667900
2013-10-11,59.43,60.36,59.03,59.45,1061400
2013-10-10,57.45,59.40,57.01,59.22,1196200
2013-10-09,57.16,57.51,54.93,56.68,1435300
2013-10-08,60.53,61.25,55.62,56.92,3195000
2013-10-07,61.23,62.61,59.51,60.04,1859400
2013-10-04,60.82,63.77,60.53,62.95,1324400
2013-10-03,61.11,61.98,59.91,60.66,926800
2013-10-02,60.30,61.92,60.30,61.46,897600
2013-10-01,60.02,61.68,59.49,61.50,1193500
2013-09-30,60.63,60.99,59.84,60.04,1056900
2013-09-27,61.84,62.32,61.09,61.49,878600
2013-09-26,60.71,61.97,60.52,61.97,957100
2013-09-25,60.59,60.94,59.67,60.44,551400
2013-09-24,60.40,61.29,59.07,60.37,643400
2013-09-23,62.09,62.23,58.85,60.76,1622000
2013-09-20,62.12,63.34,61.45,61.98,3384300
2013-09-19,60.66,62.00,60.53,61.33,1046600
2013-09-18,59.55,60.50,59.32,60.46,1084600
2013-09-17,59.49,59.76,58.03,59.37,1382100
2013-09-16,61.35,61.57,58.36,59.11,1552500
2013-09-13,60.72,60.90,59.29,59.54,943800
2013-09-12,61.18,62.21,60.57,60.78,1267000
2013-09-11,60.10,61.75,59.95,61.00,884300
2013-09-10,59.98,61.21,59.47,60.35,1386500
2013-09-09,56.48,59.75,56.35,59.43,1744500
2013-09-06,55.93,57.75,55.57,56.34,1590500
2013-09-05,55.26,55.92,55.00,55.39,803200
2013-09-04,55.00,55.94,54.76,55.33,885400
2013-09-03,54.75,56.52,54.50,55.24,2340100
2013-08-30,53.70,55.83,52.52,55.21,4905100
2013-08-29,48.36,49.65,48.32,48.92,1465400
2013-08-28,48.11,48.47,47.69,48.11,1233000
2013-08-27,49.84,49.84,47.77,48.18,1230500
2013-08-26,50.28,50.98,50.06,50.16,593700
2013-08-23,50.20,50.50,49.39,50.21,671000
2013-08-22,50.26,50.56,49.85,50.19,386100
2013-08-21,49.97,50.76,49.69,50.01,332800
2013-08-20,50.13,50.42,49.29,49.94,517100
2013-08-19,49.98,50.97,49.61,50.00,822500
2013-08-16,50.06,50.06,49.33,49.80,453900
2013-08-15,50.95,51.09,49.44,49.91,730200
2013-08-14,52.52,52.82,51.66,51.69,302700
2013-08-13,52.11,52.97,51.65,52.24,266600
2013-08-12,51.66,52.57,51.30,52.35,221500
2013-08-09,52.14,52.86,51.66,51.73,400100
2013-08-08,51.85,52.22,51.42,52.02,430700
2013-08-07,52.00,52.00,51.26,51.68,475300
2013-08-06,53.01,53.07,52.03,52.10,656100
2013-08-05,52.17,53.19,52.17,52.98,784400
2013-08-02,51.41,53.47,50.76,52.60,1329700
2013-08-01,50.28,52.08,50.15,51.26,957500
2013-07-31,50.21,50.57,49.50,50.01,718100
2013-07-30,49.78,50.05,49.40,49.93,971000
2013-07-29,50.73,50.73,49.47,49.86,891500
2013-07-26,51.04,51.14,50.14,50.46,1229300
2013-07-25,51.15,52.12,51.08,51.36,745300
2013-07-24,50.26,51.46,50.26,51.16,1195500
2013-07-23,50.36,50.53,49.91,50.10,657700
2013-07-22,49.95,50.28,49.62,49.84,626900
2013-07-19,49.61,50.15,49.51,49.67,718900
2013-07-18,50.19,50.32,49.59,49.94,515900
2013-07-17,49.84,50.77,49.74,49.99,764700
2013-07-16,50.14,50.40,49.32,49.92,1694300
2013-07-15,50.63,51.31,50.39,50.45,1073200
2013-07-12,49.67,51.11,49.50,50.72,1634100
2013-07-11,50.08,50.15,49.20,49.50,972500
2013-07-10,48.79,49.85,48.68,49.81,994800
2013-07-09,48.22,49.07,47.60,48.65,1145000
2013-07-08,49.57,49.58,48.19,48.25,1091000
2013-07-05,48.58,49.34,48.58,49.32,806000
2013-07-03,48.38,48.76,47.51,48.41,892100
2013-07-02,47.43,49.29,47.40,48.15,2364100
2013-07-01,46.35,47.92,46.15,47.72,1569200
2013-06-28,46.75,47.61,46.29,46.36,8400000
2013-06-27,45.94,47.11,45.25,47.01,1558900
2013-06-26,44.55,46.11,44.00,45.99,2003200
2013-06-25,43.88,44.29,43.51,43.95,1066700
2013-06-24,43.31,44.40,43.00,43.78,1344600
2013-06-21,43.80,43.95,42.83,43.85,1561100
2013-06-20,43.66,43.79,43.05,43.59,1352900
2013-06-19,43.91,44.17,43.69,43.72,1452400
2013-06-18,43.69,44.67,43.42,43.97,1312900
2013-06-17,43.48,44.15,43.40,43.85,1213900
2013-06-14,44.02,44.28,42.97,43.07,609000
2013-06-13,43.65,43.87,43.11,43.81,751400
2013-06-12,44.49,44.79,43.73,43.80,1072900
2013-06-11,43.58,44.65,42.97,44.10,1286500
2013-06-10,43.79,44.15,43.04,44.13,1092400
2013-06-07,43.00,43.50,42.24,43.42,1418000
2013-06-06,42.10,43.03,41.78,42.89,937000
2013-06-05,42.79,43.11,41.29,42.02,2467700
2013-06-04,44.61,45.45,42.96,42.99,2116700
2013-06-03,46.24,46.45,44.79,45.03,2377300
2013-05-31,44.05,47.11,43.40,46.76,2795600
2013-05-30,45.94,46.21,44.45,45.22,2397700
2013-05-29,45.48,46.06,44.46,45.87,1510800
2013-05-28,45.03,46.09,45.02,45.79,975100
2013-05-24,44.82,44.86,44.06,44.82,609100
2013-05-23,45.00,45.32,43.61,44.88,745400
2013-05-22,46.84,46.90,44.76,45.11,868400
2013-05-21,46.52,47.21,45.84,46.70,711800
2013-05-20,45.98,47.14,45.82,46.49,1043600
2013-05-17,45.02,45.55,44.53,45.44,954100
2013-05-16,44.81,45.20,44.52,44.70,1188000
2013-05-15,45.27,45.44,43.86,44.28,1022600
2013-05-14,44.56,45.22,44.39,45.12,1247300
2013-05-13,44.76,45.04,44.02,44.25,664000
2013-05-10,43.75,45.16,43.41,44.89,1480400
2013-05-09,43.67,43.69,41.77,43.05,1498100
2013-05-08,42.85,44.60,42.85,43.37,1454500
2013-05-07,43.40,44.49,42.99,44.42,891900
2013-05-06,43.40,43.97,42.87,43.68,651400
2013-05-03,42.50,43.49,42.31,43.28,828500
2013-05-02,40.90,42.50,40.72,42.18,1343700
2013-05-01,40.59,41.63,40.59,40.73,1030500
2013-04-30,41.76,42.16,40.48,40.80,1481600
2013-04-29,41.69,41.86,41.21,41.73,865300
2013-04-26,41.95,42.53,41.03,41.14,1024200
2013-04-25,41.06,42.09,40.75,42.03,1467500
2013-04-24,41.45,41.50,40.72,40.88,908500
2013-04-23,40.64,41.77,40.64,41.51,645900
2013-04-22,41.06,41.49,40.22,40.71,1004300
2013-04-19,41.03,41.03,40.03,40.63,1229400
2013-04-18,42.42,42.42,40.79,41.02,1040700
2013-04-17,42.03,42.49,41.73,42.10,1295700
2013-04-16,41.60,42.28,41.22,42.14,1870800
2013-04-15,42.09,42.48,41.42,41.45,1441700
2013-04-12,42.13,42.40,41.64,42.26,881200
2013-04-11,41.37,42.25,40.99,42.14,1596500
2013-04-10,40.56,41.44,40.29,41.16,2540900
